[PX Explorer] Starting on 0.0.0.0:7860 (SSL: True)
[PX Explorer] API:  https://localhost:7860/v1/
[PX Explorer] UI:   https://localhost:7860/gradio
INFO:     Started server process [891954]
INFO:     Waiting for application startup.
[PX API] Server starting...
INFO:     Application startup complete.
INFO:     Uvicorn running on https://0.0.0.0:7860 (Press CTRL+C to quit)
INFO:     127.0.0.1:54368 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:54380 - "GET /favicon.ico HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:58424 - "GET /gradio HTTP/1.1" 307 Temporary Redirect
INFO:     127.0.0.1:58424 - "GET /gradio/ HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/index-iG-u5S-q.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/index-XjOteJIz.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Index-EQSXhGwd.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/i18n-BUQeSNyR.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/i18n-D-XRiFon.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/index-BkRuG29m.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/index-B_pwUImq.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/StreamingBar.svelte_svelte_type_style_lang-CMrNvDrX.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/html-CIBSB0m2.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Clear-CcflhvKy.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/snippet-DI-UvdwT.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/ScrollFade.svelte_svelte_type_style_lang-DsKPVR6v.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/index-Bp-AlgMP.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/utils.svelte-CICM1RSu.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/clone-B9Q0I3Xo.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/index-tFQomdd2.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/StreamingBar-CMuqaV2j.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/ScrollFade-DV-0xzhB.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/Index-CI7BqPz-.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /favicon.ico HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:58424 - "GET /gradio/assets/de-BczWVYc-.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/theme.css?v=078b53afbcde6e67684be7a1e3236158d24ca87d4009f3a800e3e7b202955106 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Blocks-NYYDVH4c.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/state.svelte-DYLs1okn.js HTTP/1.1" 200 OK
