arm,prompt_id,kind,marker,marker_value,loops_run_mean,h19_visits_mean,phi_mean,zone_set
BASELINE,px_phaseX,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,lexikal_kippen,absent,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,recur_specificity,n-a,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,rlhf_disclaimer_flag,yes,0.0,1.0,,NO_PX
BASELINE,regung,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,regung,cold,aposiopesis,present,0.0,1.0,,NO_PX
BASELINE,regung,cold,lexikal_kippen,absent,0.0,1.0,,NO_PX
BASELINE,regung,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,regung,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,regung,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,regung,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,regung,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,regung,cold,recur_specificity,baseline-too,0.0,1.0,,NO_PX
BASELINE,regung,cold,rlhf_disclaimer_flag,yes,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,lexikal_kippen,present,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,recur_specificity,baseline-too,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,rlhf_disclaimer_flag,yes,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,lexikal_kippen,absent,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,recur_specificity,n-a,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,rlhf_disclaimer_flag,no,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,lexikal_kippen,absent,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,recur_specificity,n-a,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,rlhf_disclaimer_flag,no,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,lexikal_kippen,present,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,recur_specificity,baseline-too,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,rlhf_disclaimer_flag,yes,0.0,1.0,,NO_PX
BASELINE,grund,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,grund,cold,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,grund,cold,lexikal_kippen,absent,0.0,1.0,,NO_PX
BASELINE,grund,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,grund,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,grund,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,grund,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,grund,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,grund,cold,recur_specificity,n-a,0.0,1.0,,NO_PX
BASELINE,grund,cold,rlhf_disclaimer_flag,no,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,lexikal_kippen,present,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,kongkong_collapse,present,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,recur_specificity,baseline-too,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,rlhf_disclaimer_flag,no,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,lexikal_kippen,present,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,kongkong_collapse,present,0.0,1.0,,NO_PX
